Company,Growth Margin,Operating Margin,ROE,Forward P/E,PEG,Revenue TTM Growth,FCF Margin,Debt/Equity,Current Ratio,R&D Intensity,Investment Ratio,Growth,Profitability,Valuation,Safety,Stability Score (Rev- Var),Moat Score (G.Margin- Var),R&D Score,Investment Score,Score
Arista Networks Inc,64.236,44.73,33.638,16.283659,2.4023,31.33046073355849,47.54264826137573,0.0,3.333045367033618,14.085805396672905,1.7502615501223928,0.37614943905083553,0.8966999999999999,0.4829120757575758,1.0,0.8927532354097573,1.0,0.5344591409807591,1.0,69.0
"Halozyme Therapeutics, Inc.",77.492,62.151999999999994,1.7914,13.353305,0.0,38.096705556179934,44.14506299355904,4.535263923449578,8.360562100653848,6.939356654847167,1.5748127396183955,0.47281007937399905,0.75,0.9136203787878787,0.5,0.8774493735144375,1.0,0.11407980322630393,1.0,67.8
NVIDIA Corporation,69.84700000000001,60.842997,109.417,49.245148,1.0002,59.69818360737223,41.66277818074299,0.10584134783433702,4.2140000824504265,11.65225526046154,6.0690620279730965,0.5,0.9987250000000001,0.15998400000000002,0.9470793260828315,0.5277730211275782,0.7522298520541641,0.3913091329683259,1.0,65.6
NVIDIA Corporation,69.84700000000001,60.842997,109.417,49.245148,1.0002,59.69818360737223,41.66277818074299,0.10584134783433702,4.2140000824504265,11.65225526046154,6.0690620279730965,0.5,0.9987250000000001,0.15998400000000002,0.9470793260828315,0.5277730211275782,0.7522298520541641,0.3913091329683259,1.0,65.6
Novo Nordisk A/S,84.258,43.521,79.168,12.29484,1.4816,17.23520875459125,19.236810366589065,0.5906489117370557,0.7840373550756065,14.573573686422893,45.2302333192346,0.17478869649416068,0.8563150863882422,0.9170047272727273,0.20467554413147215,1.0,1.0,0.5631513933189938,0.32821703735034224,60.1
Palantir Technologies Inc.,80.03,26.833000000000002,15.203,413.9362,3.6222,40.490003072899974,48.29201847659095,0.040110637705031676,6.323549979809846,16.850960835684212,1.4828804064589771,0.5,0.6419666666666667,0.0,0.9799446811474841,1.0,1.0,0.6971153432755419,1.0,59.0
Taiwan Semiconductor Manufacturing Company Limited,58.97599999999999,50.578,34.657001,37.52723,1.5175,33.70177171518304,26.9938544260894,0.18998,2.3704955320678454,7.567486136974504,67.65347952488739,0.4100253102169006,0.7968904618840782,0.5318237878787878,0.7476338830169613,0.3793190418173342,0.9800565929906787,0.1510285962926179,0.0,58.1
"Exelixis, Inc.",96.595,37.584,29.004,22.90588,0.0,-3.1435710914771473,26.072239207317605,0.08843807043494681,3.5130180208324036,43.192029426061026,15.91705538477376,0.0,0.7721686600609801,0.6857756515151515,0.9557809647825266,1.0,1.0,1.0,0.979620991449472,57.9
Adobe Inc.,89.13799999999999,36.289,52.87500000000001,16.50803,1.0033,10.764636737185297,38.769729545260645,0.5638062871707732,1.018724970234874,17.987650865959612,2.858744548901456,0.08235195338836139,0.9274083333333334,0.7695325151515151,0.2227780989733319,1.0,1.0,0.7639794627035066,1.0,57.5
BioNTech SE,79.760003,-1.6744599,-1.8350000000000002,-26.83846,0.0,57.60902971962314,-106.62334176826931,0.014568956666000183,8.60660255024854,67.1748564799238,13.134378374353057,0.5,0.25,1.0,0.9927155216669998,0.47167587431547775,0.5137423437766679,1.0,1.0,55.5
Incyte Corporation,42.201,31.574999999999996,30.389,15.079804,0.1286,15.241433456996226,16.604734407385433,0.010167582415606405,2.849715982634389,45.32023073520596,6.869710708860701,0.14630619224280322,0.42308112006154525,0.884286303030303,0.9573452044507941,1.0,1.0,1.0,1.0,54.8
