Company,Growth Margin,Operating Margin,ROE,Forward P/E,PEG,Revenue TTM Growth,FCF Margin,Debt/Equity,Current Ratio,R&D Intensity,Investment Ratio,Growth,Profitability,Valuation,Safety,Stability Score (Rev- Var),Moat Score (G.Margin- Var),R&D Score,Investment Score,Score
"First Solar, Inc.",42.758998,32.958,15.916,11.572866,0.3685,9.873457531954898,-22.9635063812763,0.12486002436190416,1.9012685544536823,4.625405487311674,328.3929427589551,0.13924164377013995,0.22194164999999996,1.0,0.6628871264324685,0.005169774053165543,0.3825678843048004,0.0,1.0,47.5
Canadian Solar Inc.,19.309999,7.522999499999999,-4.316,5.1903114,0.0,3.801358343417429,-29.7385230698473,2.495907420517227,1.0940965846201662,1.7275635672802627,145.66577726682112,0.0,0.0,1.0,0.02352414615504156,0.0,0.4,0.0,1.0,30.2
"JinkoSolar Holding Co., Ltd.",8.3909996,-20.697,-9.0579994,11.160623,0.0,-18.580522992881697,0.0,2.6418239130411156,1.327070110311819,0.9649515447159327,85.1221112634518,0.0,0.0,1.0,0.08176752757795475,0.0,0.15586933767381161,0.0,1.0,30.8
Daqo New Energy Corp.,-48.705003000000005,-1.52931,-8.5080005,-20.33594,0.0,-50.582618039973184,-78.65804557616953,0.0,5.645689769006443,0.4036402535348893,62.11024150895055,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,40.0
Meyer Burger Technology AG,-103.15,-3.8849702,-2.33839,-0.0960274,0.0,14.28819913374808,0.0,6.55494,1.5887352635862546,5.160816015006094,,0.265377118107088,0.0,1.0,0.14718381589656365,0.0,0.0,0.009459765588593752,0.5,39.4
"LONGi Green Energy Technology Co., Ltd.",1.129,-11.2069994,-9.753,47.649998,0.0,-5.444420791311013,-8.957262641411136,0.5521538586500504,1.4907663785689773,2.0265660465613564,67.28521406419716,0.0,0.0,0.0,0.34661466531721913,0.0,0.0,0.0,1.0,3.5
"JA Solar Technology Co., Ltd.",1.46200005,-10.634,-21.576999,16.3,0.0,-20.89781595144078,11.13625931791288,1.5415566685718258,1.2522183235906736,1.415913669562926,144.0145817253927,0.0,0.05113549431594067,0.8696969696969696,0.06305458089766841,0.0,0.0,0.0,1.0,28.3
"Trina Solar Co., Ltd.",3.313,-9.4160005,-20.787,5.7852564,0.0,-16.109641188027403,0.8962926928558694,2.123498321816433,1.2557292280300862,2.4569327551335434,87.7794488879253,0.0,0.0,1.0,0.06393230700752156,0.0,0.13383744426532682,0.0,1.0,30.6
"Risen Energy Co.,Ltd.",0.308,-15.552,-25.442999999999998,5.559782,0.0,-12.87217584261366,-2.3835060019263365,1.2123338662186307,0.6428529755705124,2.168580485289204,69.41584263482359,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0
"Tongwei Co.,Ltd",-2.3359999,10.977,-16.496,67.44118,0.0,4.719445371508493,-20.674954449276424,1.9892205563720182,1.2070406345400846,1.4752419869308828,118.8169701465357,0.0,0.0,0.0,0.05176015863502115,0.0,0.0,0.0,1.0,0.5
